"","subject","trial","sector","length","animal","questions_sector_1","questions_sector_2","questions_biggersmaller","posteriors_new_1","posteriors_new_2","posteriors_new_3","posteriors_new_4","answers_old","t_question","t_response","response","prevTrial","prevSubject","isNewSector","isNewSubject","secId","animal1","animal2","animal3","animal4","animal5"
"1",1,1,1,3,5,4,1,2,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,2,214178.1962429,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2
"2",3,1,4,4,2,1,2,2,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,2,696035.169092051,NA,NA,6,1,TRUE,TRUE,1,1,2,0,0,1
"3",4,1,1,2,4,1,4,1,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,1,9138875.76459032,NA,NA,3,3,TRUE,TRUE,1,0,0,0,2,0
"4",5,1,1,3,1,1,3,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,1,9215102.4141264,NA,NA,4,4,TRUE,TRUE,1,1,0,1,1,0
"5",6,1,1,2,4,1,3,2,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,2,2081437.35360558,2081439.73606914,1,2,5,TRUE,TRUE,1,0,0,0,2,0
"6",7,1,2,4,5,2,4,1,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,9873.300633184,9874.746205814,1,2,6,TRUE,TRUE,1,1,0,0,1,2
"7",8,1,2,4,5,2,4,1,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,4872.17256967,NA,NA,2,7,TRUE,TRUE,1,2,0,1,0,1
"8",9,1,4,1,1,1,2,1,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,1,501767.453308469,NA,NA,1,8,TRUE,TRUE,1,1,0,0,0,0
"9",10,1,1,3,5,1,2,2,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,257446.080075195,257448.132350953,2,1,9,TRUE,TRUE,1,0,0,0,0,3
"10",11,1,3,3,2,1,3,2,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,2,262498.853648307,262501.177629491,2,2,10,TRUE,TRUE,1,0,1,1,1,0
"11",12,1,3,2,1,3,1,1,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,1,608793.493401744,608794.694504567,2,3,11,TRUE,TRUE,1,1,1,0,0,0
"12",13,1,4,2,1,2,3,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,2,690197.787925463,NA,NA,6,12,TRUE,TRUE,1,2,0,0,0,0
"13",14,1,2,5,4,2,4,1,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,1,684573.382875659,684575.425632631,1,1,13,TRUE,TRUE,1,1,1,0,2,1
"14",15,1,2,6,4,1,4,2,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,2,868250.404272134,868252.405443707,2,2,14,TRUE,TRUE,1,2,0,0,1,3
"15",16,1,1,4,3,1,2,1,0.2625,0.241785714285714,0.436428571428571,0.0592857142857143,1,873412.324858898,873413.752238508,1,5,15,TRUE,TRUE,1,0,2,1,1,0
"16",17,1,3,2,4,1,2,2,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,2,1379488.0089241,NA,NA,3,16,TRUE,TRUE,1,0,0,1,1,0
"17",18,1,4,4,5,1,2,2,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,1662391.19263962,NA,NA,4,17,TRUE,TRUE,1,0,0,0,0,4
"18",19,1,3,2,3,4,1,1,0.2625,0.241785714285714,0.436428571428571,0.0592857142857143,2,1715080.83049616,1715082.47929848,2,2,18,TRUE,TRUE,1,0,0,1,0,1
"19",20,1,4,6,4,3,4,1,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,2,3287626.0681221,3287627.67957347,2,1,19,TRUE,TRUE,1,3,1,0,1,1
"20",21,1,1,3,2,2,3,1,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,2,3877818.44640038,NA,NA,4,20,TRUE,TRUE,1,0,3,0,0,0
"21",22,1,1,3,1,3,2,1,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,1,3892305.59416455,3892307.43058689,1,1,21,TRUE,TRUE,1,1,0,0,2,0
"22",1,1,2,5,1,4,3,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,1,214178.1962429,NA,NA,3,1,TRUE,FALSE,2,2,0,1,1,1
"23",3,1,2,2,4,4,1,2,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,1,696035.169092051,NA,NA,4,3,TRUE,FALSE,2,0,0,0,2,0
"24",4,1,4,1,5,3,2,1,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,2,9138875.76459032,NA,NA,2,4,TRUE,FALSE,2,0,0,0,0,1
"25",5,1,3,3,1,4,3,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,2,9215102.4141264,NA,NA,3,5,TRUE,FALSE,2,2,0,0,0,1
"26",6,1,4,3,1,3,1,1,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,1,2081437.35360558,2081439.73606914,1,2,6,TRUE,FALSE,2,2,1,0,0,0
"27",7,1,2,3,1,1,4,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,2,9873.300633184,9874.746205814,1,4,7,TRUE,FALSE,2,1,0,0,2,0
"28",8,1,2,4,5,1,2,2,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,4872.17256967,NA,NA,4,8,TRUE,FALSE,2,2,0,0,1,1
"29",9,1,1,1,2,2,1,2,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,1,501767.453308469,NA,NA,1,9,TRUE,FALSE,2,0,1,0,0,0
"30",10,1,3,6,4,4,2,1,0.42590027700831,0.251731301939058,0.291089566020314,0.0312788550323176,2,257446.080075195,257448.132350953,2,3,10,TRUE,FALSE,2,2,0,0,3,1
"31",11,1,2,2,1,2,3,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,2,262498.853648307,262501.177629491,2,3,11,TRUE,FALSE,2,1,0,0,0,1
"32",12,1,4,1,2,2,1,1,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,2,608793.493401744,608794.694504567,2,2,12,TRUE,FALSE,2,0,1,0,0,0
"33",13,1,3,4,2,4,3,2,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,1,690197.787925463,NA,NA,2,13,TRUE,FALSE,2,1,2,0,1,0
"34",14,1,1,6,2,4,2,2,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,2,684573.382875659,684575.425632631,1,5,14,TRUE,FALSE,2,0,4,0,1,1
"35",15,1,4,4,1,2,1,2,0.104755784061697,0.240268086669115,0.236044803525523,0.418931325743665,2,868250.404272134,868252.405443707,2,6,15,TRUE,FALSE,2,2,0,0,0,2
"36",16,1,4,5,2,1,3,1,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,2,873412.324858898,873413.752238508,1,4,16,TRUE,FALSE,2,2,2,0,0,1
"37",17,1,3,4,2,1,3,1,0.259308707906839,0.115413143450527,0.21376650348613,0.411511645156505,1,1379488.0089241,NA,NA,2,17,TRUE,FALSE,2,0,1,1,0,2
"38",18,1,1,6,5,1,4,1,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,1662391.19263962,NA,NA,4,18,TRUE,FALSE,2,0,1,2,1,2
"39",19,1,2,2,5,2,4,1,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,1,1715080.83049616,1715082.47929848,2,2,19,TRUE,FALSE,2,0,0,0,1,1
"40",20,1,3,3,3,4,3,2,0.2625,0.241785714285714,0.436428571428571,0.0592857142857143,1,3287626.0681221,3287627.67957347,2,6,20,TRUE,FALSE,2,2,0,1,0,0
"41",21,1,3,1,5,1,2,2,0.246354214436394,0.343666880675044,0.205814913326607,0.204163991561955,2,3877818.44640038,NA,NA,3,21,TRUE,FALSE,2,0,0,0,0,1
